ChEMBL_ID,Name,SMILES,pChEMBL_value,activity_type,source
CHEMBL4875501,Unknown,CC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(C)C)[C@@H](C)O,4.24,Ki,SARS-CoV-2_Mpro
CHEMBL4877358,Unknown,N=C(N/N=C/c1ccccc1O)c1nonc1NCNc1nonc1C(=N)N/N=C/c1ccccc1O,7.2,IC50,SARS-CoV-2_Mpro
CHEMBL4869416,Unknown,COc1cc(C(NC2=NC(=O)C(CC(=O)Nc3ccc(C(=O)O)cc3)S2)c2c(O)[nH]c(=O)[nH]c2=O)ccc1O,7.07,IC50,SARS-CoV-2_Mpro
CHEMBL4848534,Unknown,Cn1cc(SCC(=O)NCc2ccccc2)c2ccccc21,4.57,IC50,SARS-CoV-2_Mpro
CHEMBL4864930,Unknown,Cn1cc(SCC(=O)N(Cc2ccccc2)Cc2ccccc2)c2ccccc21,4.91,IC50,SARS-CoV-2_Mpro
CHEMBL4850314,Unknown,CN(C)CCOc1ccc(CNC(=O)CSc2cn(C)c3ccccc23)cc1,5.05,IC50,SARS-CoV-2_Mpro
CHEMBL4851261,Unknown,COc1ccccc1CNC(=O)CSc1cn(C)c2ccccc12,5.01,IC50,SARS-CoV-2_Mpro
CHEMBL4860368,Unknown,Cn1cc(SCC(=O)NCc2ccc(Cl)c(Cl)c2)c2ccccc21,5.12,IC50,SARS-CoV-2_Mpro
CHEMBL4854844,Unknown,O=C(CSc1c[nH]c2ccccc12)NCc1ccccc1,5.17,IC50,SARS-CoV-2_Mpro
CHEMBL4863973,Unknown,O=C(CSc1c[nH]c2ccccc12)NCc1ccc(C(F)(F)F)cc1,5.1,IC50,SARS-CoV-2_Mpro
CHEMBL4855167,Unknown,CN(C)CCOc1ccc(CNC(=O)CSc2c[nH]c3ccccc23)cc1,5.04,IC50,SARS-CoV-2_Mpro
CHEMBL4852069,Unknown,COc1ccccc1CN(C)C(=O)CSc1c[nH]c2ccccc12,5.12,IC50,SARS-CoV-2_Mpro
CHEMBL4877143,Unknown,C[C@@H](NC(=O)CSc1c[nH]c2ccccc12)c1ccccc1,5.17,IC50,SARS-CoV-2_Mpro
CHEMBL4857654,Unknown,COc1ccccc1CNC(=O)CSc1c[nH]c2cccc(Br)c12,5.06,IC50,SARS-CoV-2_Mpro
CHEMBL4870400,Unknown,O=C(CSc1c[nH]c2cccc(Br)c12)NCc1ccc(Cl)c(Cl)c1,5.14,IC50,SARS-CoV-2_Mpro
CHEMBL4854494,Unknown,COc1ccccc1CNC(=O)CSc1c[nH]c2ccc(Br)cc12,4.97,IC50,SARS-CoV-2_Mpro
CHEMBL4874978,Unknown,O=C(CSc1c[nH]c2ccc(Br)cc12)NCc1ccc(Cl)c(Cl)c1,5.01,IC50,SARS-CoV-2_Mpro
CHEMBL4852238,Unknown,COc1ccccc1CNC(=O)CSc1c[nH]c2cc(Br)ccc12,5.0,IC50,SARS-CoV-2_Mpro
CHEMBL4846173,Unknown,O=C(CSc1c[nH]c2cc(Br)ccc12)NCc1ccc(Cl)c(Cl)c1,5.06,IC50,SARS-CoV-2_Mpro
CHEMBL4875555,Unknown,COc1ccccc1CNC(=O)CSc1c[nH]c2c(Br)cccc12,5.15,IC50,SARS-CoV-2_Mpro
CHEMBL4863334,Unknown,O=C(CSc1c[nH]c2c(Br)cccc12)NCc1ccc(Cl)c(Cl)c1,5.34,IC50,SARS-CoV-2_Mpro
CHEMBL4065616,REMDESIVIR,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,5.92,IC50,SARS-CoV-2_Mpro
CHEMBL4865625,Unknown,CN(Cc1ccccc1)C(=O)CSc1c[nH]c2cccc(Br)c12,5.33,IC50,SARS-CoV-2_Mpro
CHEMBL4854368,Unknown,CN(Cc1ccccc1)C(=O)CSc1c[nH]c2c(Br)cccc12,4.68,IC50,SARS-CoV-2_Mpro
CHEMBL4874748,Unknown,O=C(CSc1c[nH]c2c(Br)cccc12)N(Cc1ccccc1)Cc1ccccc1,5.15,IC50,SARS-CoV-2_Mpro
